Month   Interest Principal  Remaining
    1    2083.33    1601.17   48398.83
    2    2016.62    1667.88   46730.95
    3    1947.12    1737.38   44993.57
    4    1874.73    1809.77   43183.81
    5    1799.33    1885.17   41298.63
    6    1720.78    1963.72   39334.91
    7    1638.95    2045.55   37289.36
    8    1553.72    2130.78   35158.59
    9    1464.94    2219.56   32939.03
   10    1372.46    2312.04   30626.99
   11    1276.12    2408.38   28218.61
   12    1175.78    2508.72   25709.89
   13    1071.25    2613.25   23096.63
   14     962.36    2722.14   20374.49
   15     848.94    2835.56   17538.93
   16     730.79    2953.71   14585.22
   17     607.72    3076.78   11508.43
   18     479.52    3204.98    8303.45
   19     345.98    3338.52    4964.93
   20     206.87    3477.63    1487.30
   21      61.97    3622.53   -2135.23
